AGS,pigs,sows,cows
5334002,0,0,4919.443026
5554004,781019.6989,9978.084106,3681.843091
5570004,597926.4967,5146.842014,1633.905324
5358004,32598.30041,285.4183168,678.5810265
5382004,1759.549573,17.7607265,130.9349408
5170004,63653.40233,294.0492514,1728.418164
5334004,7744.419058,96.80967388,310.2362158
5962004,596.8970856,12.19826381,162.6759572
5774004,19838.29619,158.4654096,994.8361466
5566004,325780.7675,2651.643884,647.2413399
5974004,212910.6651,2627.624386,0
5958004,11017.19513,134.6973633,1081.255351
5558004,660399.4305,3827.538685,895.3130853
5966004,9047.58278,90.9541726,772.0048532
5766004,485.3163806,11.498799,4.659693047
5970004,3129.352181,56.50989171,1788.471568
5762004,66351.99082,789.4328414,1399.927692
5382008,307.8392698,0,289.337196
5970028,1155.897492,27.38715087,246.9352984
5774008,22235.82214,83.55640844,426.5289123
5366004,1230.253423,0,1081.855216
5770004,56545.00347,99.14526872,36.57507736
5766008,83361.41497,602.7077991,104.7678625
5974008,200707.5478,2478.246122,0
5774040,596592.8073,5646.77127,495.8812865
5334008,2064.412825,22.93204211,187.1414964
5962008,29495.05351,471.037044,1025.211153
5766012,74091.91669,244.6001717,74.18700719
5570008,374077.079,2973.122946,768.0320182
5362004,2004.6923,17.76607477,27.88352615
5154004,23345.15304,337.1444256,3704.350716
5570012,169315.849,1453.628289,460.8893787
5362008,1188.278342,0,42.66291436
5378004,0,0,807.2311762
5978004,27188.40457,161.1219341,154.0766374
5374004,657.2445223,9.373406052,338.2449268
5958008,1624.953178,25.99752844,288.2286694
5762008,149095.5372,986.1648917,596.1833468
5711000,143320.9689,1041.306502,1043.426339
5558008,728407.5754,4658.77784,1268.040678
5366008,3074.364781,0,2216.668005
5766016,96499.91124,647.0139709,622.5824178
5554008,269564.388,2354.25547,5539.26851
5911000,3048.309768,25.25471999,0
5978008,86909.22846,567.5187896,290.9194088
5314000,432.8061624,0,56.39318818
5774012,158811.2056,675.7167935,620.7255702
5762012,436664.1506,1237.70126,546.407376
5754004,136219.4816,1414.669454,762.6802579
5554012,703859.3624,6554.606034,5137.506768
5382012,6323.952338,80.24652245,15.80325625
5512000,173696.4966,1351.205835,1643.05441
5762016,372150.9014,1042.354926,467.0708228
5954004,3116.804812,15.74402865,1236.321965
5958012,97660.86309,1059.279298,4275.464732
5166004,44294.82003,256.3426732,846.4057465
5362012,150.7523937,1.336003269,2.096832438
5758004,98262.66146,723.8542784,309.020377
5774016,427476.9971,2811.42876,548.6368426
5970008,771.8468477,18.28768226,165.8447121
5378008,0,0,604.9529143
5562004,47651.05242,195.6633407,50.25701855
5558012,797290.3052,4627.052678,1081.445797
5366012,1508.453277,0,1463.964453
5562008,52644.054,52.88827866,33.47038717
5774020,248153.5352,868.2540915,2719.873355
5766020,48794.67709,546.7225976,400.8777901
5170008,7235.913519,87.8163622,195.3840469
5766024,110569.845,1407.675146,217.4031517
5162004,5795.42285,94.22388397,342.7426956
5562012,439574.8308,6630.698997,4500.488924
5913000,26191.21667,188.9588858,245.6825369
5570016,604844.7421,6531.113567,992.8236837
5966008,9147.38437,72.27313026,1218.315728
5558016,937136.8998,8041.889832,2608.497652
5358008,0,0,651.1605844
5111000,2329.049227,55.18311354,49.52763238
5112000,1746.568299,5.250174603,238.7571952
5382016,1407.990073,3.863473061,653.1904091
5362016,0,0,359.2571998
5154008,26035.18487,375.9943374,4214.241705
5566008,297400.4652,2420.668885,590.9915656
5374008,423.950569,6.860033072,595.1571424
5758008,94316.82103,1199.054449,14.65590004
5954008,3548.264388,39.16682795,386.9700935
5570020,652708.003,5614.936131,1782.095808
5974012,172398.2983,1375.385759,94.9983921
5362020,3749.331611,0,392.2814525
5370004,19756.06903,384.1410817,1592.049244
5158004,534.5234926,5.733089176,205.5546363
5970012,896.8562721,15.42760916,521.5599672
5974016,372838.3893,2974.299008,195.3079433
5334012,18.20333256,0,1292.386833
5958016,11329.46569,136.3134616,2386.553583
5770008,155164.5879,2023.894562,1519.432934
5113000,9023.737081,8.81056088,147.319863
5366016,0,0,631.4485092
5570024,229151.4011,1139.727173,1156.755162
5766028,90371.44149,603.0033935,583.5328407
5966012,8863.214583,97.91586587,524.5788457
5362024,299.4488505,0,10.16780713
5970016,543.2430972,10.14235552,86.30321679
5978012,65768.58269,562.7683443,488.9666576
5370008,9160.346143,135.4771964,1325.997868
5370012,103494.502,907.7530876,1693.083598
5154012,287503.41,3157.852853,1547.311617
5513000,13205.22559,0,504.6521497
5554016,466671.028,5969.409644,2194.763907
5974020,239041.25,1601.699603,725.414919
5954012,2618.820798,20.65990075,499.6447368
5562014,1749.839069,0,395.4733838
5154016,277169.6067,3623.10987,2367.108759
5166008,44660.11106,750.1492702,1571.527869
5566012,585857.5047,4768.32298,1162.381733
5162008,5615.904421,93.04835205,254.0930989
5554020,350655.5288,4473.02977,1657.906665
5754008,119015.3256,588.8602497,2182.694125
5374012,4.650388853,0.11018356,1025.13218
5158008,781.1099373,2.175512033,166.7146413
5914000,1151.41967,0.089266946,583.9954518
5754012,53140.69548,445.1112131,1406.362057
5958020,7425.737771,93.45759021,558.0941561
5562016,340484.1764,2810.244105,775.0228724
5962012,6377.490082,151.1044744,2423.372157
5915000,415946.3366,2716.85104,1778.643418
5170012,197828.5634,1755.519978,8029.715612
5754016,269945.9026,2801.057483,1517.604167
5954016,7522.87319,79.97943191,792.9366078
5558020,205878.4186,1657.661755,451.2769751
5554024,404843.4606,5168.061478,1911.412053
5554028,234990.0826,2181.722239,1719.500722
5158012,1356.178181,11.79610681,159.8123585
5358012,172.6146711,4.089829826,187.7227423
5370016,29499.91579,425.3485209,4203.631578
5366020,0,0,2113.88964
5962016,26728.9368,255.912953,410.9358685
5382020,3142.255616,0,2138.779695
5954020,2969.990102,0,141.8090888
5758012,136421.5285,1733.781586,23.59863598
5916000,14042.2664,304.553698,0
5962020,3667.431924,86.89396083,659.1915297
5562020,35176.58432,213.9495184,361.8925024
5754020,375963.1856,3212.351031,1092.118035
5334016,50.68447168,0,491.1482268
5758016,10970.1882,75.75490746,0
5970020,453.6691541,6.229746202,213.7289502
5158016,63.33796561,0.5489645,50.74438103
5770012,215511.9001,2812.286888,2111.135735
5566016,472949.7496,3849.587909,936.5766658
5774024,155297.747,191.9621037,737.3912538
5762020,58874.83934,597.5409571,789.4274966
5978016,19457.41802,157.8751921,152.9404897
5566020,555944.7494,6955.131084,2549.404508
5766032,42796.03004,426.661627,804.9913902
5566024,243045.7027,2538.219458,202.4834729
5370020,17154.42833,229.7016904,821.4054434
5374016,239.8592804,5.683083788,1618.150663
5770016,136655.9415,1071.431953,277.2918675
5170016,8647.090709,54.05923288,2739.473283
5358016,0,0,1937.807014
5362028,9546.49361,56.02091519,19.08269745
5566028,225055.6464,2139.36575,962.29625
5358020,748.3942742,17.73201087,94.79753809
5962024,94098.76482,1111.13204,947.9246352
5554032,11205.66948,243.075897,2570.976287
5154020,209124.5259,2079.480257,1798.355498
5162012,4990.060857,80.68756694,299.3088043
5358024,2315.920933,54.87205951,285.5054279
5162016,2754.687253,44.11081722,168.8950091
5154024,181528.7409,3013.972304,4498.023239
5366024,609.1245258,0,1198.088537
5766036,104227.8436,698.0946855,672.5345939
5978020,39807.67551,243.1702345,218.5528027
5170020,11568.82266,100.2486583,976.3115582
5166012,146177.6673,1784.168117,1639.066496
5154028,242604.6303,2436.577198,2073.521637
5362032,37484.11488,217.4217584,79.82878528
5154032,179110.7909,1752.466049,3889.844199
5962028,3853.951944,91.31325575,1595.838248
5966016,8672.615585,87.112536,746.6779619
5758020,17888.49929,188.8800695,109.6029259
5154036,28298.25685,408.7453685,4561.231726
5315000,2567.51431,0,69.76481286
5382024,2280.819961,6.698698961,946.5542494
5162020,25348.40627,211.2456713,365.4428189
5154040,21727.01301,322.6747365,4559.420069
5114000,33659.8058,524.9819866,776.9015705
5358028,921.9644623,21.84448015,115.61192
5970024,418.2819569,5.465894193,253.5570597
5378012,0,0,1486.665898
5566032,147475.3959,1401.750832,631.1857442
5566036,180354.8834,1468.141868,358.3794395
5766040,64139.83864,464.7808629,80.82931749
5754024,120588.3384,395.2100603,698.7222173
5158020,1264.385338,10.94185464,150.3228762
5358032,964.5641643,18.89789702,333.6248295
5554036,268450.5275,2485.984665,1969.327895
5378016,0,0,936.5359928
5766044,94271.17246,635.0532604,607.729029
5566040,242056.9319,2301.572415,1033.239722
5966020,9970.033475,100.2447085,848.6729097
5766048,57629.7034,193.5733957,58.47371821
5316000,603.0013055,1.819469481,498.3196744
5774028,412875.0096,6614.563981,1734.874061
5566044,196520.2037,1953.76601,950.1008383
5374020,0,0,3009.461971
5358036,55.87382873,1.32384142,516.1295689
5974024,393810.0044,4009.9255,1681.224929
5974028,164979.2199,1429.036205,1168.687686
5758024,96848.68845,317.5167213,0
5382028,428.1819193,0,1628.020474
5566048,12100.2836,135.5205247,374.1193687
5770020,46443.3348,282.5594793,338.1287001
5962032,8050.038926,170.3987412,170.6516623
5558024,780906.4194,4530.449348,1059.049836
5766052,66351.02374,1213.207494,1044.805057
5978024,56431.29143,840.2033783,212.1430975
5374024,1637.120904,24.38174681,839.6761607
5762024,158167.511,1062.642173,630.8612314
5562024,95346.61625,377.9160848,95.43395721
5958024,137923.5043,963.5079633,2230.978168
5366028,15475.59736,80.41680024,1586.989076
5382032,2214.090583,28.09525841,5.532907052
5958028,12050.90155,152.4455166,2465.364899
5162022,5130.861769,62.50547018,688.4276593
5962036,5400.95568,127.9670464,1841.912361
5962040,54136.70356,523.9012034,827.9605127
5358040,1000.123917,23.696344,25.52394797
5958032,12974.07003,152.4544981,2479.41101
5566052,265139.4773,4346.114192,208.0442631
5566056,181137.0659,2265.931917,832.9338126
5158024,15244.25285,32.32372975,129.1452934
5770024,148828.0083,973.6366062,613.4152253
5974032,148548.6715,335.2118945,0
5116000,4465.076279,17.31470932,1517.754097
5170024,59594.89785,442.6970652,273.6002359
5158026,161.8753642,1.928503486,1.061903801
5334020,693.9826993,0,2036.278665
5374028,1943.289342,29.09634315,998.1388833
5382036,0,0,3076.67929
5117000,0,0,59.13688555
5515000,690721.8156,4783.469084,1865.976015
5962044,1295.470827,26.23586415,305.6423391
5970032,899.3079509,13.94143861,413.1552008
5366032,1006.48938,0,808.2774003
5166016,4421.784189,16.08969196,4638.705394
5566060,224098.9121,1824.201378,444.5568171
5962048,53119.07182,462.565628,780.9732158
5170028,36565.281,167.8680342,995.2941004
5970036,36.12394893,0.85589946,0
5382040,359.6850249,0,1356.126081
5162024,3136.720116,57.61202606,0
5358044,239.3089587,5.670044793,500.5370043
5382044,2647.479462,33.59465868,6.615925264
5166020,4867.403942,45.28382982,760.584252
5358048,35.33704497,0.837255023,232.3847025
5762028,134321.6973,1207.015132,1068.93884
5358052,51.18593163,1.212769161,526.9880744
5558028,265323.3474,2273.199229,736.2071271
5566064,282338.3351,1311.094744,83.96844555
5558032,542815.5414,3159.691657,737.9148423
5374032,3144.893739,47.54713069,1633.626711
5119000,7292.409664,0,13.45793832
5566068,636795.9577,10438.28137,499.5942954
5378020,0,0,628.0087998
5570028,309922.1678,1542.270368,1564.206179
5562028,34956.29504,143.7350231,37.11705515
5766056,18978.83801,61.69444316,18.92161511
5558036,268779.861,1551.004018,364.1746693
5966024,10697.79697,106.1226084,519.7993328
5958036,7345.208285,101.8816333,520.2147406
5570032,483797.7637,5227.417437,795.4716333
5378024,0,0,2082.611793
5774032,257582.3235,1102.348598,1007.943588
5770028,425463.708,2786.031347,1755.442956
5962052,3800.211154,90.03995328,417.7174812
5770032,40323.29657,508.7039978,408.1121544
5770036,200827.6748,1573.359087,407.035139
5362036,1111.697413,0,40.29250246
5374036,18.93601337,0.44865869,1599.854709
5554040,293918.9044,2746.340768,2137.732558
5770040,420893.7085,4323.072459,2313.595127
5158028,864.3668369,11.21835153,3.257889785
5566072,154673.2161,1470.490451,661.0320334
5562032,73575.03106,438.1098925,281.9389732
5154044,37382.05136,555.9897721,7600.978948
5374040,1469.497742,24.65476088,2314.612796
5554044,329726.6011,3062.446844,2412.251481
5120000,6394.340007,27.70353491,752.4852683
5754028,184147.4725,1121.588578,2085.667357
5554048,362240.9166,3367.036924,2648.258032
5382048,4519.77104,17.41392639,685.6775645
5170032,41994.90072,434.400988,1378.590308
5566076,512176.7699,5419.598432,990.5878917
5154048,78724.5866,1027.858747,673.4627078
5754032,396083.0144,3562.892846,2433.997009
5758028,66819.47735,492.1212286,210.026698
5378028,101.2753888,0,279.44709
5334024,377.7342116,3.396663128,72.83927187
5162028,35250.59405,299.698429,0
5558040,543650.3848,7050.382248,2902.491455
5974036,245684.066,930.2281409,2221.161599
5382052,21.36265915,0,1503.097932
5566080,288866.3952,2351.469428,571.1543277
5774036,316319.9946,2750.641587,1610.137698
5382056,522.6694742,1.830544757,87.8052761
5570036,398273.2673,3431.968332,1089.903749
5962056,1818.257935,43.08072706,789.1101217
5170036,136480.0288,1554.293685,2968.788441
5766060,17403.78213,166.1920683,246.7746672
5766064,1441.011807,34.14248064,339.1255637
5366036,583.9093045,0,826.341511
5754036,43336.52851,329.9768683,522.568734
5958040,21458.71467,273.0131601,4190.704709
5554052,590754.2254,3930.234849,634.9085116
5166024,51696.18305,308.644628,1611.156814
5954024,2302.134872,21.65491524,272.1182752
5978028,44093.31807,306.294222,0
5370024,7540.121401,137.5381221,1744.30348
5978032,176739.0381,788.2066692,697.3466945
5558044,616624.1471,3579.142802,836.7406718
5570040,614170.8313,3277.970102,762.712132
5382060,6683.220376,109.5360905,119.895682
5970040,680.3928746,12.93405164,381.369479
5334028,13.09465943,0,2336.447695
5974040,59544.86295,507.2476564,826.2443335
5122000,341.9046568,1.445434296,277.5910649
5170040,226870.8598,3597.850664,2353.592399
5758032,79725.53862,587.2036104,250.7026124
5954028,6496.941606,58.71698858,802.9903677
5554056,333864.5777,3101.685813,2441.928188
5566084,493191.9537,4014.065613,979.822128
5754040,74402.2802,155.1279805,855.4198827
5762032,143408.1672,372.3602831,183.1316475
5770044,879437.394,9446.267673,1376.720155
5334032,0,0,1695.989717
5154052,66840.94733,917.4628542,2163.433358
5554060,75652.43545,466.9606249,0
5958044,52120.80206,564.4483251,2286.011042
5382064,8062.588194,96.54245745,211.3107733
5566088,105417.0845,704.5434858,1317.268823
5570044,425760.3706,3665.143274,1163.51259
5358056,2635.90952,62.45367966,317.4924447
5166028,70106.43417,405.1391823,1339.210736
5382068,2224.217788,25.57823963,65.89291271
5370028,4488.783111,74.39850919,334.773894
5154056,238066.7792,2398.165668,2031.049224
5978036,123141.8588,211.4025935,0
5158032,1292.778756,6.9639341,674.4033706
5554064,379968.7834,4857.639723,1788.931568
5754044,49437.49812,0,1908.877089
5754048,85712.09117,343.580941,3162.585645
5358060,2217.02205,52.52880793,56.58019012
5166032,125709.0537,725.9504084,2402.24184
5758036,97936.61873,910.4608178,672.3450297
5170044,33211.93022,406.4760687,1223.577381
5554068,651877.1083,6067.020696,4760.64973
5382072,3477.060718,13.59055636,524.4025325
5154060,190328.6482,1904.520929,1630.659556
5570048,507610.0986,1866.514987,279.6294319
5374044,1009.12707,16.8480599,1547.371221
5370032,25451.34036,362.9998393,940.2675382
5562036,85720.34922,509.2731969,328.5056107
5762036,267408.3959,2438.177052,2115.248289
5570052,990535.666,5287.529866,1228.760939
5974044,156751.3264,1966.812602,1339.02613
5370036,9213.942232,130.25421,895.9529175
5154064,113112.274,1095.762236,2477.479967
5370040,7805.695551,158.5888324,830.3846905
5366040,3287.649994,29.81556519,290.1736885
5974048,104458.6372,785.269466,1691.672363
5966028,9254.801527,92.60081287,828.9811056
5962060,443.459726,10.50707221,116.9160909
5974052,121814.6071,270.5820173,0
5378032,12687.40463,186.8257136,669.1673078
5978040,366069.979,3856.788053,239.2827574
5754052,112656.6637,892.8326833,270.6968325
5170048,25333.04378,218.7335903,2098.167401
5362040,282.2980048,2.501785416,3.926521242
5566092,72463.98646,959.1530974,1945.835768
5954032,2187.485298,22.70412702,165.4618505
5566096,384431.3947,6301.984493,289.8814117
5974056,19071.70105,144.2149285,141.5275874
5374048,1414.327106,23.30271464,591.7990751
5762040,230309.7241,2107.274453,1819.242471
5166036,46177.65857,395.3240128,1038.983102
5970044,705.1937667,10.29751385,420.4078238
5382076,1951.168568,0,1326.152397
5958048,5971.59572,69.25243806,1182.660752
5374052,0,0,4808.065497
5954036,11972.79963,185.8769976,260.0763994
5158036,46.40659301,0,199.517013
5334036,9601.666207,119.6138456,398.2062119
5124000,796.5520695,3.425329727,821.7710064
5170052,75892.6039,911.7225602,1426.208226
